SCORES_TXT_BEGIN_0 0 66 9 BLEU
1 3 0 2 0 1 0 0 2 
2 4 0 3 0 2 0 1 2 
2 4 0 3 0 2 0 1 2 
1 3 0 2 0 1 0 0 2 
2 4 0 3 0 2 0 1 2 
0 2 0 1 0 0 0 0 2 
1 3 0 2 0 1 0 0 2 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 342 40 9 BLEU
2 2 1 1 0 0 0 0 2 
2 3 0 2 0 1 0 0 2 
1 2 0 1 0 0 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
1 2 0 1 0 0 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 4 0 3 0 2 0 1 2 
2 4 0 3 0 2 0 1 2 
2 3 0 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
2 2 0 1 0 0 0 0 2 
2 3 1 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
1 2 0 1 0 0 0 0 2 
1 2 0 1 0 0 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 4 0 3 0 2 0 1 2 
2 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 4 0 3 0 2 0 1 2 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 343 100 9 BLEU
8 8 7 7 6 6 5 5 8 
7 8 6 7 5 6 4 5 8 
8 9 7 8 6 7 5 6 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 4 7 2 6 8 
7 8 5 7 3 6 1 5 8 
8 9 6 8 5 7 4 6 8 
7 9 5 8 3 7 1 6 8 
6 8 4 7 2 6 1 5 8 
7 9 5 8 3 7 1 6 8 
8 10 6 9 5 8 4 7 8 
8 10 6 9 5 8 4 7 8 
8 10 6 9 5 8 4 7 8 
8 10 6 9 5 8 4 7 8 
8 10 6 9 4 8 2 7 8 
8 9 6 8 4 7 2 6 8 
8 8 5 7 3 6 1 5 8 
7 9 5 8 3 7 1 6 8 
6 9 4 8 2 7 1 6 8 
8 10 6 9 5 8 4 7 8 
7 8 5 7 3 6 1 5 8 
7 9 6 8 5 7 4 6 8 
8 10 6 9 5 8 4 7 8 
7 9 6 8 5 7 4 6 8 
8 9 5 8 3 7 1 6 8 
7 9 5 8 3 7 2 6 8 
7 8 5 7 4 6 3 5 8 
7 10 5 9 3 8 1 7 8 
8 10 6 9 4 8 2 7 8 
8 11 6 10 5 9 4 8 8 
8 10 5 9 3 8 1 7 8 
6 8 4 7 2 6 0 5 8 
7 9 6 8 5 7 4 6 8 
8 10 5 9 3 8 1 7 8 
8 11 6 10 5 9 4 8 8 
8 9 5 8 3 7 1 6 8 
7 9 4 8 2 7 1 6 8 
8 9 5 8 3 7 1 6 8 
8 10 6 9 4 8 2 7 8 
8 10 5 9 3 8 1 7 8 
7 8 5 7 3 6 1 5 8 
8 9 5 8 3 7 1 6 8 
7 10 5 9 3 8 2 7 8 
8 10 5 9 3 8 1 7 8 
7 9 4 8 2 7 1 6 8 
7 9 5 8 3 7 1 6 8 
7 10 6 9 5 8 4 7 8 
8 10 6 9 5 8 4 7 8 
7 9 5 8 3 7 1 6 8 
8 10 5 9 3 8 1 7 8 
7 9 4 8 2 7 1 6 8 
7 9 4 8 2 7 1 6 8 
7 10 4 9 2 8 1 7 8 
8 9 6 8 5 7 4 6 8 
8 8 5 7 3 6 2 5 8 
7 9 5 8 4 7 3 6 8 
8 11 6 10 4 9 2 8 8 
7 8 4 7 2 6 1 5 8 
8 10 5 9 3 8 1 7 8 
8 11 5 10 3 9 1 8 8 
7 10 4 9 2 8 1 7 8 
6 9 4 8 2 7 1 6 8 
7 10 4 9 2 8 1 7 8 
7 10 5 9 3 8 1 7 8 
7 9 5 8 3 7 1 6 8 
8 10 5 9 3 8 1 7 8 
8 11 5 10 3 9 1 8 8 
8 10 5 9 3 8 2 7 8 
7 10 5 9 3 8 1 7 8 
8 10 5 9 3 8 1 7 8 
7 9 4 8 2 7 1 6 8 
7 8 5 7 3 6 1 5 8 
8 11 5 10 3 9 1 8 8 
7 10 4 9 2 8 1 7 8 
8 9 6 8 4 7 3 6 8 
7 10 4 9 2 8 1 7 8 
7 10 4 9 2 8 1 7 8 
7 9 5 8 4 7 3 6 8 
8 10 5 9 3 8 2 7 8 
8 10 5 9 3 8 1 7 8 
8 8 5 7 3 6 1 5 8 
6 8 5 7 4 6 3 5 8 
7 8 4 7 2 6 1 5 8 
8 9 5 8 3 7 2 6 8 
7 9 4 8 2 7 0 6 8 
8 9 5 8 3 7 2 6 8 
7 9 4 8 2 7 0 6 8 
7 9 4 8 2 7 1 6 8 
6 8 3 7 2 6 1 5 8 
8 11 5 10 3 9 1 8 8 
7 10 4 9 2 8 1 7 8 
7 10 5 9 3 8 1 7 8 
7 9 4 8 2 7 0 6 8 
6 10 4 9 2 8 1 7 8 
7 11 4 10 2 9 1 8 8 
7 9 5 8 3 7 1 6 8 
7 9 5 8 3 7 1 6 8 
7 9 5 8 3 7 1 6 8 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 344 40 9 BLEU
8 9 6 8 5 7 4 6 9 
8 9 6 8 5 7 4 6 9 
8 10 6 9 5 8 4 7 9 
7 9 5 8 4 7 3 6 9 
8 10 5 9 4 8 3 7 9 
8 9 6 8 5 7 4 6 9 
8 10 5 9 4 8 3 7 9 
7 9 6 8 5 7 4 6 9 
7 9 5 8 4 7 3 6 9 
8 10 6 9 5 8 4 7 9 
8 10 5 9 4 8 3 7 9 
8 10 6 9 5 8 4 7 9 
7 9 5 8 4 7 3 6 9 
8 10 6 9 5 8 4 7 9 
9 10 7 9 6 8 5 7 9 
8 10 6 9 5 8 4 7 9 
8 11 6 10 4 9 2 8 9 
8 10 5 9 4 8 3 7 9 
8 10 5 9 4 8 3 7 9 
8 10 6 9 4 8 3 7 9 
8 10 6 9 5 8 4 7 9 
8 10 5 9 4 8 3 7 9 
8 10 5 9 4 8 3 7 9 
8 10 6 9 5 8 4 7 9 
8 10 6 9 5 8 4 7 9 
8 10 6 9 5 8 4 7 9 
7 9 6 8 5 7 4 6 9 
8 10 5 9 4 8 3 7 9 
7 9 5 8 4 7 3 6 9 
8 10 6 9 5 8 4 7 9 
8 10 6 9 5 8 4 7 9 
8 10 5 9 4 8 3 7 9 
8 10 6 9 4 8 2 7 9 
8 10 6 9 5 8 4 7 9 
8 10 5 9 4 8 3 7 9 
8 11 5 10 4 9 3 8 9 
8 10 6 9 5 8 4 7 9 
8 10 6 9 5 8 4 7 9 
8 10 6 9 5 8 4 7 9 
8 11 6 10 5 9 4 8 9 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 345 3 9 BLEU
17 18 15 17 13 16 11 15 17 
16 18 13 17 10 16 7 15 17 
16 18 13 17 10 16 8 15 17 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 346 1 9 BLEU
15 15 14 14 13 13 12 12 15 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 347 6 9 BLEU
13 15 10 14 8 13 7 12 14 
13 16 10 15 8 14 7 13 14 
13 16 9 15 6 14 4 13 14 
13 16 10 15 8 14 7 13 14 
12 14 8 13 5 12 3 11 14 
13 16 10 15 8 14 7 13 14 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 348 4 9 BLEU
30 38 22 37 17 36 13 35 37 
30 39 22 38 17 37 13 36 37 
30 37 23 36 18 35 14 34 37 
30 38 23 37 18 36 14 35 37 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 349 2 9 BLEU
21 27 13 26 6 25 3 24 33 
21 28 13 27 6 26 3 25 33 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 350 1 9 BLEU
22 27 18 26 14 25 12 24 25 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 351 100 9 BLEU
8 8 7 7 6 6 5 5 8 
7 8 5 7 3 6 1 5 8 
7 8 5 7 3 6 1 5 8 
8 9 6 8 4 7 2 6 8 
7 8 6 7 5 6 4 5 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 4 7 2 6 8 
7 8 6 7 5 6 4 5 8 
7 8 5 7 4 6 3 5 8 
7 8 5 7 4 6 3 5 8 
7 7 6 6 5 5 4 4 8 
7 8 5 7 4 6 3 5 8 
7 8 5 7 3 6 2 5 8 
8 8 5 7 3 6 1 5 8 
8 9 6 8 4 7 2 6 8 
8 9 6 8 4 7 2 6 8 
8 10 6 9 5 8 4 7 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 4 7 2 6 8 
8 9 6 8 4 7 3 6 8 
6 8 5 7 4 6 3 5 8 
7 8 6 7 5 6 4 5 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 4 7 2 6 8 
8 9 7 8 6 7 5 6 8 
7 8 5 7 4 6 3 5 8 
8 9 7 8 6 7 5 6 8 
7 8 6 7 5 6 4 5 8 
8 9 6 8 4 7 3 6 8 
8 9 6 8 4 7 2 6 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 4 7 3 6 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 4 7 2 6 8 
8 9 6 8 5 7 4 6 8 
7 7 6 6 5 5 4 4 8 
7 8 5 7 4 6 3 5 8 
8 9 6 8 4 7 2 6 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 4 7 3 6 8 
7 8 5 7 3 6 1 5 8 
8 9 6 8 5 7 4 6 8 
7 8 6 7 5 6 4 5 8 
8 9 7 8 6 7 5 6 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 4 7 2 6 8 
8 9 6 8 4 7 2 6 8 
8 10 6 9 5 8 4 7 8 
7 9 4 8 2 7 0 6 8 
7 9 4 8 3 7 2 6 8 
7 9 4 8 2 7 0 6 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 4 7 2 6 8 
7 8 5 7 4 6 3 5 8 
8 9 6 8 4 7 2 6 8 
8 9 6 8 4 7 3 6 8 
8 9 6 8 4 7 2 6 8 
6 8 4 7 2 6 0 5 8 
8 9 6 8 4 7 2 6 8 
6 8 4 7 2 6 1 5 8 
8 10 6 9 4 8 2 7 8 
8 9 6 8 4 7 3 6 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 4 7 2 6 8 
7 8 5 7 4 6 3 5 8 
8 9 6 8 4 7 2 6 8 
8 9 6 8 4 7 3 6 8 
8 9 6 8 4 7 2 6 8 
7 8 6 7 5 6 4 5 8 
7 9 5 8 3 7 1 6 8 
8 9 6 8 4 7 3 6 8 
7 8 5 7 4 6 3 5 8 
7 9 4 8 2 7 1 6 8 
8 9 7 8 6 7 5 6 8 
7 8 5 7 4 6 3 5 8 
8 9 6 8 4 7 3 6 8 
8 9 6 8 4 7 2 6 8 
8 9 6 8 4 7 3 6 8 
8 8 4 7 1 6 0 5 8 
8 9 7 8 6 7 5 6 8 
7 8 5 7 3 6 1 5 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 5 7 4 6 8 
7 8 6 7 5 6 4 5 8 
6 8 4 7 2 6 0 5 8 
6 8 4 7 2 6 1 5 8 
8 9 6 8 4 7 2 6 8 
7 8 5 7 4 6 3 5 8 
8 9 6 8 5 7 4 6 8 
6 8 5 7 4 6 3 5 8 
8 9 6 8 5 7 4 6 8 
8 9 6 8 4 7 3 6 8 
7 8 6 7 5 6 4 5 8 
7 8 6 7 5 6 4 5 8 
7 9 6 8 5 7 4 6 8 
8 10 6 9 4 8 2 7 8 
7 8 5 7 4 6 3 5 8 
6 8 3 7 1 6 0 5 8 
7 9 4 8 2 7 0 6 8 
8 9 6 8 4 7 2 6 8 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 352 48 9 BLEU
11 14 7 13 4 12 3 11 14 
12 14 9 13 7 12 5 11 14 
11 15 7 14 4 13 3 12 14 
11 15 7 14 4 13 3 12 14 
12 15 9 14 7 13 5 12 14 
11 15 7 14 4 13 3 12 14 
11 15 7 14 4 13 3 12 14 
11 15 6 14 3 13 2 12 14 
11 15 7 14 4 13 3 12 14 
12 15 9 14 7 13 5 12 14 
10 13 6 12 4 11 3 10 14 
11 15 6 14 3 13 2 12 14 
11 15 7 14 4 13 3 12 14 
11 16 7 15 4 14 3 13 14 
11 14 7 13 4 12 3 11 14 
12 15 8 14 6 13 4 12 14 
11 15 7 14 4 13 3 12 14 
12 15 9 14 7 13 5 12 14 
10 14 5 13 2 12 1 11 14 
12 15 8 14 5 13 3 12 14 
12 15 8 14 6 13 4 12 14 
10 14 5 13 1 12 0 11 14 
11 15 7 14 4 13 3 12 14 
11 15 7 14 4 13 3 12 14 
11 15 6 14 2 13 1 12 14 
11 15 6 14 2 13 1 12 14 
11 15 7 14 4 13 3 12 14 
11 16 7 15 4 14 3 13 14 
10 14 6 13 3 12 2 11 14 
11 15 6 14 3 13 2 12 14 
11 15 6 14 2 13 0 12 14 
11 15 7 14 4 13 3 12 14 
11 15 6 14 3 13 2 12 14 
12 15 9 14 7 13 5 12 14 
11 15 6 14 3 13 2 12 14 
11 15 7 14 4 13 3 12 14 
11 16 7 15 4 14 3 13 14 
11 15 7 14 4 13 3 12 14 
11 15 7 14 4 13 3 12 14 
10 16 6 15 4 14 3 13 14 
11 16 7 15 4 14 3 13 14 
11 16 6 15 3 14 2 13 14 
10 14 6 13 4 12 3 11 14 
11 16 5 15 2 14 1 13 14 
11 14 7 13 5 12 3 11 14 
11 14 7 13 4 12 3 11 14 
10 13 5 12 2 11 1 10 14 
11 15 6 14 2 13 1 12 14 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 353 17 9 BLEU
9 9 8 8 7 7 6 6 9 
8 10 6 9 5 8 4 7 9 
8 9 6 8 4 7 2 6 9 
9 10 7 9 5 8 4 7 9 
9 10 8 9 7 8 6 7 9 
9 10 7 9 6 8 5 7 9 
8 9 7 8 6 7 5 6 9 
9 10 8 9 7 8 6 7 9 
9 10 8 9 7 8 6 7 9 
9 10 7 9 6 8 5 7 9 
9 10 7 9 6 8 5 7 9 
9 10 8 9 7 8 6 7 9 
8 9 7 8 6 7 5 6 9 
9 10 8 9 7 8 6 7 9 
9 10 8 9 7 8 6 7 9 
9 10 8 9 7 8 6 7 9 
9 10 8 9 7 8 6 7 9 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 354 100 9 BLEU
2 2 1 1 0 0 0 0 2 
1 2 0 1 0 0 0 0 2 
2 3 1 2 0 1 0 0 2 
1 2 0 1 0 0 0 0 2 
1 3 0 2 0 1 0 0 2 
0 2 0 1 0 0 0 0 2 
1 3 0 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
1 3 0 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
1 2 0 1 0 0 0 0 2 
0 3 0 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
0 2 0 1 0 0 0 0 2 
1 3 0 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
1 3 0 2 0 1 0 0 2 
1 2 0 1 0 0 0 0 2 
2 3 1 2 0 1 0 0 2 
1 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
1 3 0 2 0 1 0 0 2 
0 2 0 1 0 0 0 0 2 
2 3 1 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
1 2 0 1 0 0 0 0 2 
2 3 1 2 0 1 0 0 2 
1 3 0 2 0 1 0 0 2 
1 3 0 2 0 1 0 0 2 
2 2 0 1 0 0 0 0 2 
1 3 0 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
2 4 1 3 0 2 0 1 2 
2 4 1 3 0 2 0 1 2 
1 3 0 2 0 1 0 0 2 
1 3 0 2 0 1 0 0 2 
1 3 0 2 0 1 0 0 2 
2 4 1 3 0 2 0 1 2 
1 3 0 2 0 1 0 0 2 
0 2 0 1 0 0 0 0 2 
1 3 0 2 0 1 0 0 2 
1 3 0 2 0 1 0 0 2 
1 2 0 1 0 0 0 0 2 
1 3 0 2 0 1 0 0 2 
1 3 0 2 0 1 0 0 2 
1 3 0 2 0 1 0 0 2 
2 4 1 3 0 2 0 1 2 
2 3 0 2 0 1 0 0 2 
2 4 1 3 0 2 0 1 2 
2 4 1 3 0 2 0 1 2 
1 4 0 3 0 2 0 1 2 
1 4 0 3 0 2 0 1 2 
2 4 0 3 0 2 0 1 2 
1 3 0 2 0 1 0 0 2 
1 4 0 3 0 2 0 1 2 
2 4 1 3 0 2 0 1 2 
2 3 1 2 0 1 0 0 2 
1 3 0 2 0 1 0 0 2 
1 4 0 3 0 2 0 1 2 
1 3 0 2 0 1 0 0 2 
1 4 0 3 0 2 0 1 2 
2 3 1 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 4 1 3 0 2 0 1 2 
2 4 1 3 0 2 0 1 2 
2 4 1 3 0 2 0 1 2 
1 4 0 3 0 2 0 1 2 
2 3 0 2 0 1 0 0 2 
1 2 0 1 0 0 0 0 2 
2 4 1 3 0 2 0 1 2 
0 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
2 4 1 3 0 2 0 1 2 
2 4 1 3 0 2 0 1 2 
2 4 0 3 0 2 0 1 2 
1 3 0 2 0 1 0 0 2 
1 4 0 3 0 2 0 1 2 
2 4 1 3 0 2 0 1 2 
1 3 0 2 0 1 0 0 2 
2 3 0 2 0 1 0 0 2 
1 2 0 1 0 0 0 0 2 
1 4 0 3 0 2 0 1 2 
2 4 1 3 0 2 0 1 2 
2 3 0 2 0 1 0 0 2 
2 3 1 2 0 1 0 0 2 
2 4 1 3 0 2 0 1 2 
2 4 1 3 0 2 0 1 2 
2 3 0 2 0 1 0 0 2 
1 4 0 3 0 2 0 1 2 
1 4 0 3 0 2 0 1 2 
1 3 0 2 0 1 0 0 2 
1 2 0 1 0 0 0 0 2 
1 2 0 1 0 0 0 0 2 
1 4 0 3 0 2 0 1 2 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 355 1 9 BLEU
12 12 11 11 10 10 9 9 12 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 356 100 9 BLEU
9 9 8 8 7 7 6 6 9 
9 10 7 9 6 8 5 7 9 
9 10 7 9 5 8 4 7 9 
9 10 7 9 5 8 3 7 9 
9 10 7 9 5 8 4 7 9 
8 9 6 8 5 7 4 6 9 
8 9 6 8 4 7 2 6 9 
8 9 6 8 5 7 4 6 9 
8 9 6 8 5 7 4 6 9 
9 10 7 9 6 8 5 7 9 
9 10 7 9 6 8 5 7 9 
9 10 7 9 5 8 4 7 9 
9 10 7 9 5 8 4 7 9 
9 10 7 9 5 8 4 7 9 
9 10 7 9 5 8 4 7 9 
9 10 7 9 5 8 4 7 9 
8 9 7 8 6 7 5 6 9 
8 9 6 8 5 7 4 6 9 
8 9 6 8 4 7 3 6 9 
9 11 7 10 6 9 5 8 9 
9 10 8 9 7 8 6 7 9 
9 10 8 9 6 8 4 7 9 
9 10 7 9 6 8 5 7 9 
9 10 7 9 6 8 5 7 9 
8 9 6 8 5 7 4 6 9 
9 10 7 9 5 8 4 7 9 
9 10 7 9 6 8 5 7 9 
9 11 6 10 4 9 3 8 9 
8 9 6 8 5 7 4 6 9 
9 10 7 9 5 8 3 7 9 
8 10 6 9 5 8 4 7 9 
9 10 7 9 5 8 4 7 9 
9 11 6 10 4 9 3 8 9 
8 9 6 8 5 7 4 6 9 
8 9 6 8 4 7 3 6 9 
9 11 6 10 4 9 3 8 9 
8 10 5 9 3 8 2 7 9 
9 10 7 9 5 8 3 7 9 
8 9 6 8 5 7 4 6 9 
8 8 6 7 4 6 2 5 9 
8 9 6 8 5 7 4 6 9 
8 9 6 8 4 7 2 6 9 
9 11 6 10 3 9 2 8 9 
8 9 6 8 4 7 3 6 9 
8 9 6 8 5 7 4 6 9 
8 9 7 8 6 7 5 6 9 
8 9 7 8 6 7 5 6 9 
9 11 6 10 5 9 4 8 9 
8 9 6 8 5 7 4 6 9 
9 10 7 9 5 8 3 7 9 
8 10 5 9 3 8 2 7 9 
8 9 6 8 5 7 4 6 9 
8 9 6 8 4 7 2 6 9 
9 11 6 10 5 9 4 8 9 
8 9 7 8 6 7 5 6 9 
9 10 7 9 6 8 5 7 9 
9 11 6 10 3 9 1 8 9 
8 9 6 8 4 7 3 6 9 
9 11 6 10 4 9 3 8 9 
9 10 7 9 5 8 4 7 9 
9 11 6 10 4 9 3 8 9 
9 10 8 9 7 8 6 7 9 
9 10 7 9 5 8 4 7 9 
8 10 5 9 3 8 2 7 9 
9 11 6 10 5 9 4 8 9 
8 10 5 9 4 8 3 7 9 
9 10 7 9 5 8 3 7 9 
9 11 6 10 4 9 3 8 9 
8 10 5 9 4 8 3 7 9 
8 10 6 9 4 8 2 7 9 
8 10 6 9 5 8 4 7 9 
8 10 5 9 2 8 0 7 9 
9 10 7 9 5 8 3 7 9 
7 9 4 8 3 7 2 6 9 
9 10 7 9 5 8 3 7 9 
9 10 7 9 5 8 3 7 9 
9 10 7 9 6 8 5 7 9 
9 10 8 9 7 8 6 7 9 
9 11 6 10 5 9 4 8 9 
8 10 5 9 3 8 2 7 9 
9 10 7 9 5 8 3 7 9 
9 10 7 9 5 8 4 7 9 
9 10 7 9 5 8 4 7 9 
9 10 7 9 5 8 4 7 9 
9 11 6 10 4 9 2 8 9 
9 11 6 10 3 9 2 8 9 
8 10 5 9 3 8 2 7 9 
9 11 6 10 4 9 3 8 9 
7 9 4 8 3 7 2 6 9 
9 11 6 10 4 9 3 8 9 
9 10 8 9 7 8 6 7 9 
9 11 7 10 5 9 4 8 9 
9 11 6 10 4 9 3 8 9 
9 11 6 10 5 9 4 8 9 
9 11 6 10 5 9 4 8 9 
8 10 5 9 4 8 3 7 9 
9 10 7 9 6 8 5 7 9 
7 9 4 8 3 7 2 6 9 
8 10 6 9 5 8 4 7 9 
8 9 7 8 6 7 5 6 9 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 357 100 9 BLEU
9 11 5 10 2 9 0 8 12 
9 12 4 11 1 10 0 9 12 
9 11 5 10 2 9 0 8 12 
9 12 4 11 1 10 0 9 12 
9 12 5 11 2 10 0 9 12 
9 13 4 12 1 11 0 10 12 
9 11 5 10 2 9 0 8 12 
9 12 4 11 1 10 0 9 12 
9 12 4 11 1 10 0 9 12 
9 12 5 11 2 10 0 9 12 
9 12 5 11 2 10 0 9 12 
9 11 5 10 2 9 0 8 12 
9 13 4 12 1 11 0 10 12 
9 13 4 12 1 11 0 10 12 
9 12 4 11 1 10 0 9 12 
9 12 5 11 2 10 0 9 12 
9 12 4 11 1 10 0 9 12 
9 13 4 12 1 11 0 10 12 
8 11 3 10 1 9 0 8 12 
9 12 4 11 1 10 0 9 12 
9 12 4 11 1 10 0 9 12 
10 12 6 11 3 10 0 9 12 
9 13 4 12 1 11 0 10 12 
8 12 2 11 0 10 0 9 12 
9 12 5 11 2 10 0 9 12 
9 13 3 12 0 11 0 10 12 
10 13 5 12 2 11 0 10 12 
9 11 5 10 2 9 0 8 12 
9 12 4 11 1 10 0 9 12 
9 13 4 12 1 11 0 10 12 
9 12 4 11 1 10 0 9 12 
9 12 4 11 1 10 0 9 12 
8 11 4 10 1 9 0 8 12 
9 12 4 11 1 10 0 9 12 
9 12 4 11 1 10 0 9 12 
9 12 4 11 1 10 0 9 12 
9 12 4 11 1 10 0 9 12 
9 12 5 11 2 10 0 9 12 
9 12 5 11 2 10 0 9 12 
8 12 3 11 0 10 0 9 12 
9 13 3 12 1 11 0 10 12 
8 11 4 10 1 9 0 8 12 
9 12 4 11 1 10 0 9 12 
9 12 5 11 2 10 0 9 12 
9 13 5 12 2 11 0 10 12 
9 12 5 11 2 10 0 9 12 
9 13 4 12 1 11 0 10 12 
8 11 3 10 1 9 0 8 12 
9 12 5 11 2 10 0 9 12 
9 13 4 12 1 11 0 10 12 
9 12 4 11 1 10 0 9 12 
8 11 4 10 2 9 0 8 12 
8 11 4 10 2 9 0 8 12 
9 12 5 11 2 10 0 9 12 
8 11 4 10 1 9 0 8 12 
9 12 4 11 1 10 0 9 12 
9 12 4 11 1 10 0 9 12 
10 12 6 11 3 10 0 9 12 
9 13 4 12 1 11 0 10 12 
9 14 4 13 1 12 0 11 12 
9 13 4 12 1 11 0 10 12 
8 11 3 10 1 9 0 8 12 
10 13 6 12 3 11 0 10 12 
9 12 5 11 2 10 0 9 12 
8 11 4 10 2 9 0 8 12 
9 12 4 11 1 10 0 9 12 
8 12 2 11 0 10 0 9 12 
10 12 4 11 1 10 0 9 12 
8 11 4 10 2 9 0 8 12 
8 12 3 11 1 10 0 9 12 
8 12 3 11 1 10 0 9 12 
9 13 4 12 1 11 0 10 12 
8 12 3 11 0 10 0 9 12 
9 12 5 11 2 10 0 9 12 
8 12 3 11 1 10 0 9 12 
9 13 3 12 0 11 0 10 12 
10 13 5 12 2 11 0 10 12 
9 13 4 12 1 11 0 10 12 
8 12 2 11 0 10 0 9 12 
9 13 4 12 1 11 0 10 12 
10 14 5 13 2 12 0 11 12 
9 13 4 12 1 11 0 10 12 
8 12 3 11 1 10 0 9 12 
9 12 5 11 2 10 0 9 12 
10 12 4 11 1 10 0 9 12 
8 11 4 10 1 9 0 8 12 
9 12 4 11 2 10 0 9 12 
9 12 4 11 1 10 0 9 12 
8 12 3 11 1 10 0 9 12 
8 11 4 10 2 9 0 8 12 
9 12 4 11 1 10 0 9 12 
9 12 5 11 2 10 0 9 12 
9 13 4 12 1 11 0 10 12 
8 13 2 12 0 11 0 10 12 
9 12 4 11 1 10 0 9 12 
8 11 4 10 1 9 0 8 12 
9 13 4 12 1 11 0 10 12 
9 13 4 12 1 11 0 10 12 
8 13 3 12 1 11 0 10 12 
9 12 4 11 1 10 0 9 12 
SCORES_TXT_END_0
SCORES_TXT_BEGIN_0 358 100 9 BLEU
9 10 7 9 5 8 3 7 11 
8 10 5 9 3 8 1 7 11 
9 11 6 10 4 9 3 8 11 
10 11 8 10 6 9 4 8 11 
8 9 6 8 4 7 3 6 11 
8 10 6 9 4 8 3 7 11 
9 11 6 10 4 9 2 8 11 
9 10 4 9 1 8 0 7 11 
9 11 6 10 4 9 3 8 11 
8 10 6 9 4 8 2 7 11 
8 10 5 9 3 8 1 7 11 
8 10 6 9 4 8 3 7 11 
9 11 7 10 5 9 3 8 11 
8 10 5 9 3 8 1 7 11 
9 11 6 10 4 9 2 8 11 
8 10 6 9 4 8 3 7 11 
8 10 5 9 3 8 1 7 11 
8 10 5 9 4 8 3 7 11 
10 10 8 9 6 8 4 7 11 
8 10 5 9 3 8 1 7 11 
8 10 5 9 3 8 1 7 11 
9 11 6 10 4 9 2 8 11 
8 10 6 9 4 8 3 7 11 
9 11 6 10 4 9 2 8 11 
7 10 5 9 4 8 3 7 11 
9 11 6 10 4 9 3 8 11 
8 10 5 9 3 8 1 7 11 
8 10 5 9 4 8 3 7 11 
